partido_id,mundial,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,marcador,local_es_anfitrion,visitante_es_anfitrion,fuente,goles_totales,diferencia_goles,resultado_local
M-2026-012,2026,Fase de grupos,B,3,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,3-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,4,2,Gana
M-2026-017,2026,Fase de grupos,C,3,2026-06-25,Scotland,Brazil,0,3,0-3,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,3,-3,Pierde
M-2026-018,2026,Fase de grupos,C,3,2026-06-25,Morocco,Haiti,4,2,4-2,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,6,2,Gana
M-2026-023,2026,Fase de grupos,D,3,2026-06-25,Turkey,United States,3,2,3-2,False,True,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,5,1,Gana
M-2026-024,2026,Fase de grupos,D,3,,Paraguay,Australia,0,0,0-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,0,0,Empata
M-2026-029,2026,Fase de grupos,E,3,2026-06-25,Curacao,Ivory Coast,0,2,0-2,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E,2,-2,Pierde
M-2026-030,2026,Fase de grupos,E,3,2026-06-25,Ecuador,Germany,2,1,2-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E,3,1,Gana
M-2026-035,2026,Fase de grupos,F,3,2026-06-26,Japan,Sweden,1,1,1-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F,2,0,Empata
M-2026-036,2026,Fase de grupos,F,3,2026-06-26,Tunisia,Netherlands,1,3,1-3,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F,4,-2,Pierde
M-2026-041,2026,Fase de grupos,G,3,2026-06-26,Egypt,Iran,1,1,1-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G,2,0,Empata
M-2026-042,2026,Fase de grupos,G,3,2026-06-26,New Zealand,Belgium,1,5,1-5,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G,6,-4,Pierde
M-2026-047,2026,Fase de grupos,H,3,2026-06-26,Cape Verde,Saudi Arabia,0,0,0-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,0,0,Empata
M-2026-048,2026,Fase de grupos,H,3,2026-06-26,Uruguay,Spain,0,1,0-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,1,-1,Pierde
M-2026-053,2026,Fase de grupos,I,3,2026-06-26,Norway,France,1,4,1-4,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,5,-3,Pierde
